TILEID,SURVEY,PROGRAM,FAPRGRM,FAFLAVOR,NEXP,EXPTIME,TILERA,TILEDEC,EFFTIME_ETC,EFFTIME_SPEC,EFFTIME_GFA,GOALTIME,OBSSTATUS,LRG_EFFTIME_DARK,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GOALTYPE,MINTFRAC,LASTNIGHT
80675,sv1,dark,elgqso,sv1elgqso,12,8645.1,98.5,44.5,0.0,4801.2,0.0,4000.0,obsend,4464.5,4801.2,4436.6,3800.3,dark,0.9,20210201
80656,sv1,bright,bgsmws,sv1bgsmws,11,4209.3,156.064,43.3178,0.0,1038.1,0.0,600.0,obsend,957.5,1071.2,1038.1,774.8,bright,0.9,20210202
80626,sv1,bright,bgsmws,sv1bgsmws,2,600.1,23.4,25.6,0.0,107.4,0.0,600.0,obsstart,97.9,104.5,107.4,53.3,bright,0.9,20210203
80693,sv1,dark,elgqso,sv1elgqso,11,9900.5,135.0,83.0,0.0,5012.8,0.0,4000.0,obsend,4786.7,5012.8,4858.4,4934.4,dark,0.9,20210204
80646,sv1,bright,bgsmws,sv1bgsmws,12,4698.4,125.0,32.375,0.0,1703.5,0.0,600.0,obsend,1595.5,1764.5,1703.5,1367.6,bright,0.9,20210205
80605,sv1,dark,lrgqso,cmxlrgqso,24,19559.1,36.448,-4.601,0.0,6854.3,0.0,4000.0,obsend,6574.0,6854.3,6832.1,6651.9,dark,0.9,20210205
80645,sv1,bright,bgsmws,sv1bgsmws,13,3900.9,120.0,40.0,0.0,1876.2,0.0,600.0,obsend,1775.2,1986.1,1876.2,1418.4,bright,0.9,20210205
80648,sv1,bright,bgsmws,sv1bgsmws,4,2400.2,132.7,9.93,0.0,400.8,0.0,600.0,obsstart,374.5,420.0,400.8,273.3,bright,0.9,20210205
80677,sv1,dark,elgqso,sv1elgqso,13,7945.3,104.5,36.0,0.0,3900.6,0.0,4000.0,obsend,3543.9,3900.6,3558.5,2873.1,dark,0.9,20210205
80654,sv1,bright,bgsmws,sv1bgsmws,11,4112.7,155.0,32.375,0.0,1207.7,0.0,600.0,obsend,1099.4,1202.7,1207.7,1105.7,bright,0.9,20210205
80683,sv1,dark,elgqso,sv1elgqso,8,5361.3,116.0,15.5,0.0,3494.5,0.0,4000.0,obsstart,3324.7,3494.5,3425.2,3282.7,dark,0.9,20210206
80669,sv1,dark,elgqso,sv1elgqso,12,9265.9,38.0,0.5,0.0,4817.9,0.0,4000.0,obsend,4595.8,4817.9,4773.2,5061.1,dark,0.9,20210206
80673,sv1,dark,elgqso,sv1elgqso,14,11345.8,85.5,-20.2,0.0,4059.6,0.0,4000.0,obsend,3861.2,4059.6,3945.7,3070.0,dark,0.9,20210206
80678,sv1,dark,lrgqso,sv1lrgqso,14,11776.7,102.5,39.0,0.0,5826.7,0.0,4000.0,obsend,5314.6,5826.7,5272.5,3803.0,dark,0.9,20210206
80688,sv1,dark,lrgqso,sv1lrgqso,10,6948.3,130.7,22.3,0.0,5487.8,0.0,4000.0,obsend,5199.8,5487.8,5285.6,5336.2,dark,0.9,20210206
80628,sv1,bright,bgsmws,sv1bgsmws,6,1527.2,28.6,5.2,0.0,424.5,0.0,600.0,obsstart,387.5,434.4,424.5,267.8,bright,0.9,20210206
80680,sv1,dark,lrgqso,sv1lrgqso,8,7984.9,111.0,44.8,0.0,6335.3,0.0,4000.0,obsend,5851.2,6335.3,5689.0,4950.2,dark,0.9,20210208
80700,sv1,dark,lrgqso,sv1lrgqso,11,7829.9,159.0,32.375,0.0,4209.0,0.0,4000.0,obsend,4094.8,4209.0,4233.8,4427.4,dark,0.9,20210208
80610,sv1,dark,elg,cmxelg,16,13955.7,150.12,2.306,0.0,9477.8,0.0,4000.0,obsend,9181.0,9477.8,9292.5,10560.3,dark,0.9,20210208
